INFO,Date,Content Length,ContentType,remotePath,filename
PAM Disk2/pa0575au/pa0575au_003_180903_232246.wav,2018-09-30 08:59:23 +0000 GMT,230400044,.wav,PAM Disk2/pa0575au/pa0575au_003_180903_232246.wav,pa0575au_003_180903_232246.wav
PAM Disk2/pa0577au/pa0577au_005_180904_051532.wav,2018-09-30 09:11:30 +0000 GMT,192564524,.wav,PAM Disk2/pa0577au/pa0577au_005_180904_051532.wav,pa0577au_005_180904_051532.wav
PAM Disk2/pa0578au/pa0578au_001_180904_071936.wav,2018-09-30 09:14:00 +0000 GMT,230400044,.wav,PAM Disk2/pa0578au/pa0578au_001_180904_071936.wav,pa0578au_001_180904_071936.wav
PAM Disk2/pa0578au/pa0578au_002_180904_072939.wav,2018-09-30 09:15:52 +0000 GMT,230400044,.wav,PAM Disk2/pa0578au/pa0578au_002_180904_072939.wav,pa0578au_002_180904_072939.wav
PAM Disk1/pa0720au/pa0720au_001_180705_084847.wav,2018-09-23 00:48:48 +0000 GMT,23916332,.wav,PAM Disk1/pa0720au/pa0720au_001_180705_084847.wav,pa0720au_001_180705_084847.wav
PAM Disk2/pa0578au/pa0578au_004_180904_074937.wav,2018-09-30 09:16:54 +0000 GMT,230400044,.wav,PAM Disk2/pa0578au/pa0578au_004_180904_074937.wav,pa0578au_004_180904_074937.wav
PAM Disk2/pa0578au/pa0578au_005_180904_075936.wav,2018-09-30 09:17:08 +0000 GMT,157635884,.wav,PAM Disk2/pa0578au/pa0578au_005_180904_075936.wav,pa0578au_005_180904_075936.wav
PAM Disk2/pa0575au/pa0575au_001_180903_230244.wav,2018-09-30 08:52:53 +0000 GMT,230400044,.wav,PAM Disk2/pa0575au/pa0575au_001_180903_230244.wav,pa0575au_001_180903_230244.wav
PAM Disk2/pa0575au/pa0575au_002_180903_231247.wav,2018-09-30 08:59:06 +0000 GMT,230400044,.wav,PAM Disk2/pa0575au/pa0575au_002_180903_231247.wav,pa0575au_002_180903_231247.wav
PAM Disk2/pa0578au/pa0578au_003_180904_073938.wav,2018-09-30 09:15:53 +0000 GMT,230400044,.wav,PAM Disk2/pa0578au/pa0578au_003_180904_073938.wav,pa0578au_003_180904_073938.wav
PAM Disk2/pa0574au/pa0574au_003_180903_202713.wav,2018-09-30 08:51:17 +0000 GMT,230400044,.wav,PAM Disk2/pa0574au/pa0574au_003_180903_202713.wav,pa0574au_003_180903_202713.wav
PAM Disk2/pa0574au/pa0574au_004_180903_203712.wav,2018-09-30 08:51:07 +0000 GMT,230400044,.wav,PAM Disk2/pa0574au/pa0574au_004_180903_203712.wav,pa0574au_004_180903_203712.wav
PAM Disk2/pa0579au/pa0579au_001_180904_095918.wav,2018-09-30 09:16:18 +0000 GMT,230400044,.wav,PAM Disk2/pa0579au/pa0579au_001_180904_095918.wav,pa0579au_001_180904_095918.wav
PAM Disk2/pa0579au/pa0579au_002_180904_100921.wav,2018-09-30 09:27:34 +0000 GMT,230400044,.wav,PAM Disk2/pa0579au/pa0579au_002_180904_100921.wav,pa0579au_002_180904_100921.wav
PAM Disk2/pa0579au/pa0579au_003_180904_101920.wav,2018-09-30 09:20:22 +0000 GMT,230400044,.wav,PAM Disk2/pa0579au/pa0579au_003_180904_101920.wav,pa0579au_003_180904_101920.wav
PAM Disk2/pa0579au/pa0579au_004_180904_102919.wav,2018-09-30 09:27:29 +0000 GMT,230400044,.wav,PAM Disk2/pa0579au/pa0579au_004_180904_102919.wav,pa0579au_004_180904_102919.wav
PAM Disk2/pa0576au/pa0576au_005_180904_023137.wav,2018-09-30 09:07:55 +0000 GMT,172227116,.wav,PAM Disk2/pa0576au/pa0576au_005_180904_023137.wav,pa0576au_005_180904_023137.wav
PAM Disk2/pa0574au/pa0574au_005_180903_204711.wav,2018-09-30 08:52:29 +0000 GMT,177585452,.wav,PAM Disk2/pa0574au/pa0574au_005_180903_204711.wav,pa0574au_005_180903_204711.wav
PAM Disk2/pa0576au/pa0576au_001_180904_015137.wav,2018-09-30 08:59:33 +0000 GMT,230400044,.wav,PAM Disk2/pa0576au/pa0576au_001_180904_015137.wav,pa0576au_001_180904_015137.wav
PAM Disk2/pa0576au/pa0576au_002_180904_020140.wav,2018-09-30 09:05:14 +0000 GMT,230400044,.wav,PAM Disk2/pa0576au/pa0576au_002_180904_020140.wav,pa0576au_002_180904_020140.wav
PAM Disk2/pa0576au/pa0576au_003_180904_021139.wav,2018-09-30 09:05:40 +0000 GMT,230400044,.wav,PAM Disk2/pa0576au/pa0576au_003_180904_021139.wav,pa0576au_003_180904_021139.wav
PAM Disk2/pa0576au/pa0576au_004_180904_022138.wav,2018-09-30 09:06:06 +0000 GMT,230400044,.wav,PAM Disk2/pa0576au/pa0576au_004_180904_022138.wav,pa0576au_004_180904_022138.wav
PAM Disk2/pa0577au/pa0577au_004_180904_050533.wav,2018-09-30 09:12:01 +0000 GMT,230400044,.wav,PAM Disk2/pa0577au/pa0577au_004_180904_050533.wav,pa0577au_004_180904_050533.wav
